"ImageSize","DataSize","Nodes","NodeCores","NodeRAM","Executors","ExecutorRam","ExecutorCores","Time"
"128x128",13.6,5,16,12,41,1,2,5.1
"128x128",13.6,5,16,12,51,1,1,8.4
"128x128",13.6,5,16,16,6,12,15,3.6
"128x128",13.6,5,16,16,11,6,7,3.9
"128x128",13.6,5,16,16,16,4,4,4
"128x128",13.6,5,16,16,21,3,3,4.2
"128x128",13.6,5,16,16,36,2,1,4.7
"128x128",13.6,5,16,16,71,1,0,6.1
"128x128",13.6,7,8,8,8,5,7,7.1
"128x128",13.6,7,8,8,15,3,3,8.2
"128x128",13.6,7,8,8,22,2,1,8.4
"128x128",13.6,7,8,8,29,1,1,14
"128x128",13.6,7,8,12,8,9,7,6.2
"128x128",13.6,7,8,12,8,9,7,6.6
"128x128",13.6,7,8,12,15,4,3,7.1
"128x128",13.6,7,8,12,22,3,1,6.4
"128x128",13.6,7,8,12,29,2,1,6.9
"128x128",13.6,7,8,16,8,12,7,5.5
"128x128",13.6,7,8,16,15,6,3,5.6
"128x128",13.6,7,8,16,22,4,1,5.9
"128x128",13.6,7,8,16,29,3,1,6.1
"128x128",13.6,7,16,8,8,5,15,4.5
"128x128",13.6,7,16,8,15,3,7,4.2
"128x128",13.6,7,16,8,22,2,4,4.3
"128x128",13.6,7,16,8,29,1,3,23
"128x128",13.6,7,16,8,36,1,2,18
"128x128",13.6,7,16,8,43,1,1,24
"128x128",13.6,7,16,12,8,9,15,6.8
"128x128",13.6,7,16,12,15,4,7,3.7
"128x128",13.6,7,16,12,22,3,4,3.8
"128x128",13.6,7,16,12,29,2,3,4
"128x128",13.6,7,16,12,36,2,2,4.1
"128x128",13.6,7,16,12,57,1,1,6.9
"128x128",13.6,7,16,16,8,12,15,3.4
"128x128",13.6,7,16,16,15,6,7,3.6
"128x128",13.6,7,16,16,22,4,4,3.8
"128x128",13.6,7,16,16,29,3,3,3.9
"128x128",13.6,7,16,16,50,2,2,4.4
"128x128",13.6,7,16,16,99,1,0,7.1
"256x256",55,3,8,8,4,6,6,150
"256x256",55,3,8,8,6,4,4,204
"256x256",55,3,8,8,8,3,3,
"256x256",55,3,8,8,12,2,2,
